,Channel_Name,Language,Tags,Last Played Game,Game ID,Count
391,muangfang,th,"['thai', 'thailand', 'ภาษาไทย']",Grand Theft Auto V,32982,5212
392,mortenroyale,de,['Deutsch'],Clash Royale,491168,28976
393,moogrr1211,ko,['한국어'],World of Warcraft,18122,8647
394,nuuhfps,pt,"['Português', 'VALORANT', 'humor']",Slots,498566,11018
395,otplol_,fr,"['Esport', 'Français']",League of Legends,21779,188378
396,parkseorim,ko,"['한국어', '로스트아크', '버서커', '종합게임', '검은사막', '박서림']",Lost Ark,490100,3795
397,nokduro,ko,['한국어'],Just Chatting,509658,57574
398,pakusyo,ko,"['한국어', 'icecrown', 'citadel', 'ptr', 'lck', 'icc', 'lichking', 'Classic']",World of Warcraft,18122,4060
399,ogmeik,es,"['Roleplay', 'RP', 'Tarkov', 'Leagueofleagends', 'Español', 'mk', 'pokemon']",Escape from Tarkov,491931,3971
400,paulanobre,pt,"['Mulher', 'Português', 'fps', 'justchattıng', 'Inglês']",Just Chatting,509658,29023
401,nowayzao,pt,['Português'],Counter-Strike,32399,9095
402,nukomaro2020,ja,['日本語'],"Animals, Aquariums, and Zoos",272263131,5632
403,orslok,es,['Español'],ELDEN RING,512953,731
404,nugiyen,en,"['English', 'Sarcastic']",Special Events,509663,21070
405,oestagiario,pt,"['Português', 'Esportes', 'Futebol']",Just Chatting,509658,54063
406,olyashaa,ru,"['некрасивыеженщины', 'низкоинтеллектуальность', 'отсутствиеталантов', 'зашквар', 'кринж', 'рандомнаятелка', 'старость', 'викакартерсекссимвол', 'Русский', 'ruSprint']",Just Chatting,509658,27875
407,ookina,pt,['Português'],Virtual Casino,29452,9599
408,ops1x,en,['English'],Fortnite,33214,68961
409,orangemorange,de,['Deutsch'],Just Chatting,509658,29809
410,paka9999,ko,['한국어'],League of Legends,21779,70294
411,paradeev1ch,ru,['Русский'],Just Chatting,509658,11677
412,okyyy,es,['Español'],Just Chatting,509658,13059
413,ovotz,pt,"['Português', 'Dedé', 'GTARP', 'CPX', 'GTA', 'fivem', 'Ruinxos']",Grand Theft Auto V,32982,88
414,pathofexile,en,"['PathofExile', 'race', 'Esports', 'event', 'English', 'DropsEnabled']",Path of Exile,29307,361
415,nyanners,en,"['vtuber', 'HouseArrest', 'PSYCHOLOGICAL', 'English', 'Gayfriendly', 'Anime', 'ENVtuber', 'furrysafespace', 'Mongolia', 'DROPS']",Just Chatting,509658,57260
416,obm1025,ko,['한국어'],Just Chatting,509658,57861
417,pathofexilebota,ru,['Русский'],Path of Exile,29307,12716
418,orkpod,ru,['Русский'],Heroes of the Storm,32959,13896
419,pgod,es,"['Español', 'English', 'valorant', 'onichan']",VALORANT,516575,42809
