,Channel_Name,Language,Tags,Last Played Game,Game ID,ChannelID,Count
1611,sidoka_ns,pt,['Português'],Virtual Casino,29452,191614717,4594
1612,sinatraa,en,['English'],VALORANT,516575,138094916,163716
1613,slrabbit99,zh,"['中文', '重播']",slrabbit99,slrabbit99,28990891,11192
1614,smitegame,en,"['Esports', 'English', 'DropsEnabled']",SMITE,32507,31500812,59426
1615,sneegsnag,en,"['farts', 'English', 'minecraft', 'vaulthunters', 'sdmp', 'moddedminecraft']",Minecraft,27471,24057744,40009
1616,shinimon,pt,"['Português', 'Fullclear', 'Intelectual', 'Lillia']",League of Legends,21779,36198475,15055
1617,silent,en,['English'],I'm Only Sleeping,498592,32402794,44670
1618,sirmaza,es,"['valorant', 'radiant', 'Español']",VALORANT,516575,39518378,15999
1619,smashley,en,"['English', 'LGBTQIA', 'Trans', 'RPG', 'Adventure', 'abs', 'Educational', 'Transgender']",Star Citizen,71375,40601000,21427
1620,sixentv,fr,"['jungler', 'leagueoflegends', 'marseillais', 'pizzaiolo', 'pédagogie', 'fun', 'intéractif', 'Français']",League of Legends,21779,38009333,35880
1621,sixwong,zh,"['巨魔', '6tan', '反應越來越慢了', 'EnglishOK', '中文']",Black Myth: Wukong,519291,7995300,20130
1622,skyshocktv,es,"['Português', 'ADHD', 'Minecraft', '420', 'Mexico', 'Tijuana', 'Español', 'Inglés', 'LuchaLibre', 'BTSArmy']",Just Chatting,509658,29249710,17289
1623,smittyw,es,"['humor', 'inmaduro', 'Español']",Just Chatting,509658,40857595,22470
1624,shibuya_kaho,en,"['Japan', 'Japanese', 'English']",Just Chatting,509658,496970086,23664
1625,shisheyu,fr,"['Français', 'shisheyu']",Super Mario Galaxy,14766,62989856,22168
1626,silphtv,ko,['한국어'],Just Chatting,509658,138009898,14674
1627,silvername,ru,"['Русский', 'Hardcore']",World of Warcraft,18122,70075625,113701
1628,sips_,en,"['dad', 'falconry', 'mapmaking', 'bronzesmith', 'esportsready', 'sensei', 'young', 'English']",Construction Simulator,814559054,26538483,43862
1629,sleepypuffy,en,['English'],Coral Island,1960341762,669411046,1207
