Channel_Name,Language,Tags,Last Played Game,Game ID
sirneontw,es,"['FreeFire', 'Garena', 'Shooter', 'Divercion', 'Español']",Garena Free Fire,502732
sloot,en,"['English', 'Bald', 'Variety', 'Funny', 'Egg', 'Cozy', 'Romanian', 'Canadian']",Black Myth: Wukong,519291
skill4ltu,en,"['English', 'Lithuanian', 'drops', 'Drop', 'DropsActive', 'DropsEnabled']",World of Tanks,27546
smzinho,pt,['Português'],Dota 2,29595
ses836,ko,['한국어'],Just Chatting,509658
shlorox,de,['Deutsch'],World of Warcraft,18122
shuteye_orange,zh,['中文'],Black Myth: Wukong,519291
sidneyeweka,de,['Deutsch'],Just Chatting,509658
snoodyboo,es,['Español'],Teamfight Tactics,513143
sequisha,en,"['English', 'Solo', 'comedy', 'Hardcore', 'dungeon', 'Him']",Escape from Tarkov,491931
shackyhd,en,"['ADHD', 'Dyslexic', 'English']",Rust,263490
skyyart,fr,['Français'],League of Legends,21779
smoke,en,"['English', 'Immersion', 'SurvivaI', 'Adventure', 'Action', 'Shooter']",DayZ,65632
selis13,es,"['Español', 'Anime', 'JujutsuKaisen', 'Jujutsu']",VALORANT,516575
shiphtur,en,['English'],VALORANT,516575
silentsentry,en,"['DoesNOTbegforsubs', 'PC', 'VoiceActing', 'English', 'Comedy', 'FirstPlayrthrough']",Dead by Daylight,491487
smaczny,pl,"['Polski', 'Figma', 'vtube', 'pngtuber', 'czasamigramwgry', 'UIDesign']",Conqueror's Blade,498523
sintica,de,"['Music', 'House', 'DJ', 'Hardstyle', 'Deutsch', 'DJ', '808ontwitch', 'Techno']",DJs,1669431183
slysssa,en,"['Educational', 'Music', 'Fun', 'english', 'battlegrounds', 'English']",Hearthstone,138585
smokaloke,en,"['Mature', 'Adventure', 'English', 'Variety', 'Profanity', 'DrinkingandGaming', 'Indie']",Black Myth: Wukong,519291
seals311,pt,"['Futebol', 'Desporto', 'Português', 'Portugal', 'Tennis', 'NBA', 'Ciclismo']",seals311,seals311
shenpai,en,"['English', 'OhGodHelpMe', 'NoBackseating', 'NOTSponsored']",FINAL FANTASY XIV ONLINE,24241
shivfps,en,['English'],Apex Legends,511224
silithur,es,['Español'],Black Myth: Wukong,519291
silvervale,en,"['VTuber', 'Chill', 'Anime', 'Community', 'Relaxing', 'Positivity', 'English', 'Cozy', 'GoodVibes', 'English']",Just Chatting,509658
skyrroztv,fr,['Français'],Call of Duty: Warzone,512710
serpent,nl,"['Nederlands', 'serpentgameplay', 'rickbroers', 'ruziemaken']",I'm Only Sleeping,498592
shaunz,fr,['Français'],IRL,509672
shotz,en,"['English', 'Shooter', 'Boomer', 'shotz', 'Malding', 'Roleplay', 'STARFORGE']",Grand Theft Auto V,32982
shoxx__,de,"['Roleplay', 'GTA', 'GrandTheftAuto', 'HomeState', 'Deutsch', 'warzone']",Grand Theft Auto V,32982
sirhcez,en,"['chill', 'anime', 'top', 'AMA', 'singed', 'Filipino', 'nasus', 'Multiplayer', 'English']",League of Legends,21779
sleepy,en,"['e', 'catboy', 'English', 'DropsEnabled']",PAYDAY 3,2113043143
snaggymo,en,"['Kuwait', 'arab', 'qatar', 'English']",Just Chatting,509658
sekapoko,en,"['gacha', 'English']",Genshin Impact,513181
sgtgrafoyni,ru,"['Большой', 'Русский', 'Кот']",Just Chatting,509658
shroud,en,['English'],Black Myth: Wukong,519291
sick_nerd,en,"['English', 'RecedingHairline', 'NeanderthalAncestry', 'AskMeAnything']",Old School RuneScape,459931
shofu,en,['English'],Just Chatting,509658
shookwon,en,"['irl', 'bald', 'English', 'AUS', 'australia', 'fish', 'bacon', 'Travel', 'Outdoors', 'Fishing']",IRL,509672
shtan_udachi,ru,shtan_udachi,Hearthstone,138585
skswhdkgo1,ko,['한국어'],MapleStory,19976
sco,en,['English'],World of Warcraft,18122
scripe,en,"['English', 'RWF']",World of Warcraft,18122
sees360,ko,['한국어'],Just Chatting,509658
sheriffeli,en,"['English', 'Cooperative', 'RPG', 'RP']",Crime Scene Cleaner,343455332
slayproxx,pl,['Polski'],Black Myth: Wukong,519291
sneux,es,"['Español', 'sneux', 'Fortnite', 'blacklivesmatter', 'Black']",Slots,498566
snip3down,en,"['English', 'raffle']",Apex Legends,511224
sinksr,en,"['Rust', 'Athletic', 'Based', 'English', 'ADHD', 'PvP', 'NoBackseating', 'BackseatingAllowed']",Rust,263490
sjow,en,"['Battlegrounds', 'Highlevel', 'Chill', 'English']",Hearthstone,138585
slipix,fr,"['leagueoflegends', 'lolfr', 'Français', 'Tournoi']",League of Legends,21779
snipernamedg,en,"['EnduranceTraining', 'AMA', 'EndGame', 'English', 'grind']",Black Myth: Wukong,519291
shenryyr,en,"['furry', 'oregon', 'serval', 'meow', 'coffee', 'derp', 'lgbtqiaplus', 'English', 'NoBackseatingUnlessAsked']",Gear City,461510
sirolopez56,es,"['realmadrid', 'español', 'barcelona', 'atleti', 'deporte', 'charladeporte', 'mbappe', 'fútbol', 'JJOO', 'Español']",Sports,518203
sizer0346,ko,['한국어'],Football Manager 2024,2091165871
skipnho,pt,['Português'],Black Myth: Wukong,519291
